,split,sql,nl,sql_tokens,sql_ast,sql_table_refs,sql_col_refs,sql_char_len,sql_tok_len,target_db,target_schema,target_schema_tables,target_schema_cols
0,test,"SELECT
  T2.groupName
FROM torrents AS T2
JOIN tags AS T1
  ON T1.id = T2.id
WHERE
  T1.tag = ""houston""
ORDER BY
  totalSnatched DESC
LIMIT 1",Name the most popular release on houston.,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""groupName"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""AS"", ""type"": ""ALIAS"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""JOIN"", ""type"": ""JOIN"", ""comments"": """"}, {""text"": ""tags"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""AS"", ""type"": ""ALIAS"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""ON"", ""type"": ""ON"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""WHERE"", ""type"": ""WHERE"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""tag"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""houston"", ""type"": ""IDENTIFIER"", ""comments"": """"}, {""text"": ""ORDER BY"", ""type"": ""ORDER_BY"", ""comments"": """"}, {""text"": ""totalSnatched"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""DESC"", ""type"": ""DESC"", ""comments"": """"}, {""text"": ""LIMIT"", ""type"": ""LIMIT"", ""comments"": """"}, {""text"": ""1"", ""type"": ""NUMBER"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: groupName, quoted: False), table: 
    (IDENTIFIER this: T2, quoted: False)), limit: 
  (LIMIT expression: 
    (LITERAL this: 1, is_string: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False), alias: 
      (TABLEALIAS this: 
        (IDENTIFIER this: T2, quoted: False)))), joins: 
  (JOIN this: 
    (TABLE this: 
      (IDENTIFIER this: tags, quoted: False), alias: 
      (TABLEALIAS this: 
        (IDENTIFIER this: T1, quoted: False))), on: 
    (EQ this: 
      (COLUMN this: 
        (IDENTIFIER this: id, quoted: False), table: 
        (IDENTIFIER this: T1, quoted: False)), expression: 
      (COLUMN this: 
        (IDENTIFIER this: id, quoted: False), table: 
        (IDENTIFIER this: T2, quoted: False)))), where: 
  (WHERE this: 
    (EQ this: 
      (COLUMN this: 
        (IDENTIFIER this: tag, quoted: False), table: 
        (IDENTIFIER this: T1, quoted: False)), expression: 
      (COLUMN this: 
        (IDENTIFIER this: houston, quoted: True)))), order: 
  (ORDER expressions: 
    (ORDERED this: 
      (COLUMN this: 
        (IDENTIFIER this: totalSnatched, quoted: False)), desc: True, nulls_first: False)))",['torrents' 'tags'],['groupName' 'id' 'id' 'tag' 'houston' 'totalSnatched'],141,31,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
1,test,"SELECT DISTINCT
  groupName
FROM torrents
WHERE
  totalSnatched > 100 AND releaseType = ""album""",Which albums have been downloaded more than 100 times?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""DISTINCT"", ""type"": ""DISTINCT"", ""comments"": """"}, {""text"": ""groupName"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""WHERE"", ""type"": ""WHERE"", ""comments"": """"}, {""text"": ""totalSnatched"", ""type"": ""VAR"", ""comments"": """"}, {""text"": "">"", ""type"": ""GT"", ""comments"": """"}, {""text"": ""100"", ""type"": ""NUMBER"", ""comments"": """"}, {""text"": ""AND"", ""type"": ""AND"", ""comments"": """"}, {""text"": ""releaseType"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""album"", ""type"": ""IDENTIFIER"", ""comments"": """"}]","(SELECT distinct: 
  (DISTINCT ), expressions: 
  (COLUMN this: 
    (IDENTIFIER this: groupName, quoted: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False))), where: 
  (WHERE this: 
    (AND this: 
      (GT this: 
        (COLUMN this: 
          (IDENTIFIER this: totalSnatched, quoted: False)), expression: 
        (LITERAL this: 100, is_string: False)), expression: 
      (EQ this: 
        (COLUMN this: 
          (IDENTIFIER this: releaseType, quoted: False)), expression: 
        (COLUMN this: 
          (IDENTIFIER this: album, quoted: True))))))",['torrents'],['groupName' 'totalSnatched' 'releaseType' 'album'],95,13,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
2,test,"SELECT
  groupName
FROM torrents
WHERE
  groupYear > 2000
ORDER BY
  totalSnatched DESC
LIMIT 5",Find me top 5 most popular releases after 2000?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""groupName"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""WHERE"", ""type"": ""WHERE"", ""comments"": """"}, {""text"": ""groupYear"", ""type"": ""VAR"", ""comments"": """"}, {""text"": "">"", ""type"": ""GT"", ""comments"": """"}, {""text"": ""2000"", ""type"": ""NUMBER"", ""comments"": """"}, {""text"": ""ORDER BY"", ""type"": ""ORDER_BY"", ""comments"": """"}, {""text"": ""totalSnatched"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""DESC"", ""type"": ""DESC"", ""comments"": """"}, {""text"": ""LIMIT"", ""type"": ""LIMIT"", ""comments"": """"}, {""text"": ""5"", ""type"": ""NUMBER"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: groupName, quoted: False)), limit: 
  (LIMIT expression: 
    (LITERAL this: 5, is_string: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False))), where: 
  (WHERE this: 
    (GT this: 
      (COLUMN this: 
        (IDENTIFIER this: groupYear, quoted: False)), expression: 
      (LITERAL this: 2000, is_string: False))), order: 
  (ORDER expressions: 
    (ORDERED this: 
      (COLUMN this: 
        (IDENTIFIER this: totalSnatched, quoted: False)), desc: True, nulls_first: False)))",['torrents'],['groupName' 'groupYear' 'totalSnatched'],95,13,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
3,test,"SELECT DISTINCT
  releaseType
FROM torrents",what release types are captured in this data set?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""DISTINCT"", ""type"": ""DISTINCT"", ""comments"": """"}, {""text"": ""releaseType"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}]","(SELECT distinct: 
  (DISTINCT ), expressions: 
  (COLUMN this: 
    (IDENTIFIER this: releaseType, quoted: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False))))",['torrents'],['releaseType'],43,5,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
4,test,"SELECT DISTINCT
  tag
FROM tags",which tags exist?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""DISTINCT"", ""type"": ""DISTINCT"", ""comments"": """"}, {""text"": ""tag"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""tags"", ""type"": ""VAR"", ""comments"": """"}]","(SELECT distinct: 
  (DISTINCT ), expressions: 
  (COLUMN this: 
    (IDENTIFIER this: tag, quoted: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: tags, quoted: False))))",['tags'],['tag'],31,5,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
5,test,"SELECT
  groupName,
  artist
FROM torrents",what are the entries by each specific artist/group?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""groupName"", ""type"": ""VAR"", ""comments"": """"}, {""text"": "","", ""type"": ""COMMA"", ""comments"": """"}, {""text"": ""artist"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: groupName, quoted: False)), 
  (COLUMN this: 
    (IDENTIFIER this: artist, quoted: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False))))",['torrents'],['groupName' 'artist'],42,6,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
6,test,"SELECT
  groupName,
  groupYear
FROM torrents",what year was each specific entry released?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""groupName"", ""type"": ""VAR"", ""comments"": """"}, {""text"": "","", ""type"": ""COMMA"", ""comments"": """"}, {""text"": ""groupYear"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""torrents"", ""type"": ""VAR"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: groupName, quoted: False)), 
  (COLUMN this: 
    (IDENTIFIER this: groupYear, quoted: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: torrents, quoted: False))))",['torrents'],['groupName' 'groupYear'],45,6,WhatCDHipHop,"{""database_id"": ""WhatCDHipHop"", ""tables"": [""torrents"", ""tags""], ""foreign_keys"": [[""torrents.id"", ""tags.id""]], ""num_tables"": 2, ""num_columns"": 10, ""torrents"": {""columns"": [""groupName"", ""totalSnatched"", ""artist"", ""groupYear"", ""releaseType"", ""groupId"", ""id""], ""column_types"": [""text"", ""number"", ""text"", ""number"", ""text"", ""number"", ""number""], ""table_name"": ""torrents"", ""primary_keys"": [""id""]}, ""tags"": {""columns"": [""index"", ""id"", ""tag""], ""column_types"": [""number"", ""number"", ""text""], ""table_name"": ""tags"", ""primary_keys"": [""id""]}}",2,10
7,test,"SELECT
  player_id
FROM salary
WHERE
  year = ""2015""
ORDER BY
  salary DESC
LIMIT 1",Who is the player had the highest salary in 2015?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""player_id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""salary"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""WHERE"", ""type"": ""WHERE"", ""comments"": """"}, {""text"": ""year"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""2015"", ""type"": ""IDENTIFIER"", ""comments"": """"}, {""text"": ""ORDER BY"", ""type"": ""ORDER_BY"", ""comments"": """"}, {""text"": ""salary"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""DESC"", ""type"": ""DESC"", ""comments"": """"}, {""text"": ""LIMIT"", ""type"": ""LIMIT"", ""comments"": """"}, {""text"": ""1"", ""type"": ""NUMBER"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: player_id, quoted: False)), limit: 
  (LIMIT expression: 
    (LITERAL this: 1, is_string: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: salary, quoted: False))), where: 
  (WHERE this: 
    (EQ this: 
      (COLUMN this: 
        (IDENTIFIER this: year, quoted: False)), expression: 
      (COLUMN this: 
        (IDENTIFIER this: 2015, quoted: True)))), order: 
  (ORDER expressions: 
    (ORDERED this: 
      (COLUMN this: 
        (IDENTIFIER this: salary, quoted: False)), desc: True, nulls_first: False)))",['salary'],['player_id' 'year' '2015' 'salary'],83,13,TheHistoryofBaseball,"{""database_id"": ""TheHistoryofBaseball"", ""tables"": [""hall_of_fame"", ""player_award"", ""player_award_vote"", ""salary"", ""player""], ""foreign_keys"": [[""player_award.player_id"", ""hall_of_fame.player_id""], [""player_award_vote.player_id"", ""hall_of_fame.player_id""], [""salary.player_id"", ""hall_of_fame.player_id""], [""player.player_id"", ""hall_of_fame.player_id""]], ""num_tables"": 5, ""num_columns"": 44, ""hall_of_fame"": {""columns"": [""player_id"", ""yearid"", ""votedby"", ""ballots"", ""needed"", ""votes"", ""inducted"", ""category"", ""needed_note""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""hall_of_fame"", ""primary_keys"": [""player_id""]}, ""player_award"": {""columns"": [""player_id"", ""award_id"", ""year"", ""league_id"", ""tie"", ""notes""], ""column_types"": [""text"", ""text"", ""number"", ""text"", ""text"", ""text""], ""table_name"": ""player_award"", ""primary_keys"": [""player_id""]}, ""player_award_vote"": {""columns"": [""award_id"", ""year"", ""league_id"", ""player_id"", ""points_won"", ""points_max"", ""votes_first""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""number"", ""number"", ""text""], ""table_name"": ""player_award_vote"", ""primary_keys"": [""player_id""]}, ""salary"": {""columns"": [""year"", ""team_id"", ""league_id"", ""player_id"", ""salary""], ""column_types"": [""number"", ""text"", ""text"", ""text"", ""number""], ""table_name"": ""salary"", ""primary_keys"": [""player_id""]}, ""player"": {""columns"": [""player_id"", ""birth_year"", ""birth_month"", ""birth_day"", ""birth_country"", ""birth_state"", ""birth_city"", ""death_year"", ""death_month"", ""death_day"", ""death_country"", ""death_state"", ""death_city"", ""name_first"", ""name_last"", ""name_given"", ""weight""], ""column_types"": [""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""player"", ""primary_keys"": [""player_id""]}}",5,44
8,test,"SELECT
  AVG(T1.weight)
FROM player AS T1
JOIN player_award AS T2
  ON T1.player_id = T2.player_id
WHERE
  T2.award_id = ""TSN All-Star"" AND notes = ""3B""",What is the average weight of players who were awarded third-base man in TSN all-star award?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""AVG"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""("", ""type"": ""L_PAREN"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""weight"", ""type"": ""VAR"", ""comments"": """"}, {""text"": "")"", ""type"": ""R_PAREN"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""player"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""AS"", ""type"": ""ALIAS"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""JOIN"", ""type"": ""JOIN"", ""comments"": """"}, {""text"": ""player_award"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""AS"", ""type"": ""ALIAS"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""ON"", ""type"": ""ON"", ""comments"": """"}, {""text"": ""T1"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""player_id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""player_id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""WHERE"", ""type"": ""WHERE"", ""comments"": """"}, {""text"": ""T2"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""."", ""type"": ""DOT"", ""comments"": """"}, {""text"": ""award_id"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""TSN All-Star"", ""type"": ""IDENTIFIER"", ""comments"": """"}, {""text"": ""AND"", ""type"": ""AND"", ""comments"": """"}, {""text"": ""notes"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""="", ""type"": ""EQ"", ""comments"": """"}, {""text"": ""3B"", ""type"": ""IDENTIFIER"", ""comments"": """"}]","(SELECT expressions: 
  (AVG this: 
    (COLUMN this: 
      (IDENTIFIER this: weight, quoted: False), table: 
      (IDENTIFIER this: T1, quoted: False))), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: player, quoted: False), alias: 
      (TABLEALIAS this: 
        (IDENTIFIER this: T1, quoted: False)))), joins: 
  (JOIN this: 
    (TABLE this: 
      (IDENTIFIER this: player_award, quoted: False), alias: 
      (TABLEALIAS this: 
        (IDENTIFIER this: T2, quoted: False))), on: 
    (EQ this: 
      (COLUMN this: 
        (IDENTIFIER this: player_id, quoted: False), table: 
        (IDENTIFIER this: T1, quoted: False)), expression: 
      (COLUMN this: 
        (IDENTIFIER this: player_id, quoted: False), table: 
        (IDENTIFIER this: T2, quoted: False)))), where: 
  (WHERE this: 
    (AND this: 
      (EQ this: 
        (COLUMN this: 
          (IDENTIFIER this: award_id, quoted: False), table: 
          (IDENTIFIER this: T2, quoted: False)), expression: 
        (COLUMN this: 
          (IDENTIFIER this: TSN All-Star, quoted: True))), expression: 
      (EQ this: 
        (COLUMN this: 
          (IDENTIFIER this: notes, quoted: False)), expression: 
        (COLUMN this: 
          (IDENTIFIER this: 3B, quoted: True))))))",['player' 'player_award'],['weight' 'player_id' 'player_id' 'award_id' 'TSN All-Star' 'notes' '3B'],152,33,TheHistoryofBaseball,"{""database_id"": ""TheHistoryofBaseball"", ""tables"": [""hall_of_fame"", ""player_award"", ""player_award_vote"", ""salary"", ""player""], ""foreign_keys"": [[""player_award.player_id"", ""hall_of_fame.player_id""], [""player_award_vote.player_id"", ""hall_of_fame.player_id""], [""salary.player_id"", ""hall_of_fame.player_id""], [""player.player_id"", ""hall_of_fame.player_id""]], ""num_tables"": 5, ""num_columns"": 44, ""hall_of_fame"": {""columns"": [""player_id"", ""yearid"", ""votedby"", ""ballots"", ""needed"", ""votes"", ""inducted"", ""category"", ""needed_note""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""hall_of_fame"", ""primary_keys"": [""player_id""]}, ""player_award"": {""columns"": [""player_id"", ""award_id"", ""year"", ""league_id"", ""tie"", ""notes""], ""column_types"": [""text"", ""text"", ""number"", ""text"", ""text"", ""text""], ""table_name"": ""player_award"", ""primary_keys"": [""player_id""]}, ""player_award_vote"": {""columns"": [""award_id"", ""year"", ""league_id"", ""player_id"", ""points_won"", ""points_max"", ""votes_first""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""number"", ""number"", ""text""], ""table_name"": ""player_award_vote"", ""primary_keys"": [""player_id""]}, ""salary"": {""columns"": [""year"", ""team_id"", ""league_id"", ""player_id"", ""salary""], ""column_types"": [""number"", ""text"", ""text"", ""text"", ""number""], ""table_name"": ""salary"", ""primary_keys"": [""player_id""]}, ""player"": {""columns"": [""player_id"", ""birth_year"", ""birth_month"", ""birth_day"", ""birth_country"", ""birth_state"", ""birth_city"", ""death_year"", ""death_month"", ""death_day"", ""death_country"", ""death_state"", ""death_city"", ""name_first"", ""name_last"", ""name_given"", ""weight""], ""column_types"": [""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""player"", ""primary_keys"": [""player_id""]}}",5,44
9,test,"SELECT
  birth_city
FROM player
GROUP BY
  birth_city
ORDER BY
  COUNT(*) DESC
LIMIT 1",Which city the most players were born?,"[{""text"": ""SELECT"", ""type"": ""SELECT"", ""comments"": """"}, {""text"": ""birth_city"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""FROM"", ""type"": ""FROM"", ""comments"": """"}, {""text"": ""player"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""GROUP BY"", ""type"": ""GROUP_BY"", ""comments"": """"}, {""text"": ""birth_city"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""ORDER BY"", ""type"": ""ORDER_BY"", ""comments"": """"}, {""text"": ""COUNT"", ""type"": ""VAR"", ""comments"": """"}, {""text"": ""("", ""type"": ""L_PAREN"", ""comments"": """"}, {""text"": ""*"", ""type"": ""STAR"", ""comments"": """"}, {""text"": "")"", ""type"": ""R_PAREN"", ""comments"": """"}, {""text"": ""DESC"", ""type"": ""DESC"", ""comments"": """"}, {""text"": ""LIMIT"", ""type"": ""LIMIT"", ""comments"": """"}, {""text"": ""1"", ""type"": ""NUMBER"", ""comments"": """"}]","(SELECT expressions: 
  (COLUMN this: 
    (IDENTIFIER this: birth_city, quoted: False)), limit: 
  (LIMIT expression: 
    (LITERAL this: 1, is_string: False)), from: 
  (FROM expressions: 
    (TABLE this: 
      (IDENTIFIER this: player, quoted: False))), group: 
  (GROUP expressions: 
    (COLUMN this: 
      (IDENTIFIER this: birth_city, quoted: False))), order: 
  (ORDER expressions: 
    (ORDERED this: 
      (COUNT this: 
        (STAR )), desc: True, nulls_first: False)))",['player'],['birth_city' 'birth_city'],86,14,TheHistoryofBaseball,"{""database_id"": ""TheHistoryofBaseball"", ""tables"": [""hall_of_fame"", ""player_award"", ""player_award_vote"", ""salary"", ""player""], ""foreign_keys"": [[""player_award.player_id"", ""hall_of_fame.player_id""], [""player_award_vote.player_id"", ""hall_of_fame.player_id""], [""salary.player_id"", ""hall_of_fame.player_id""], [""player.player_id"", ""hall_of_fame.player_id""]], ""num_tables"": 5, ""num_columns"": 44, ""hall_of_fame"": {""columns"": [""player_id"", ""yearid"", ""votedby"", ""ballots"", ""needed"", ""votes"", ""inducted"", ""category"", ""needed_note""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""hall_of_fame"", ""primary_keys"": [""player_id""]}, ""player_award"": {""columns"": [""player_id"", ""award_id"", ""year"", ""league_id"", ""tie"", ""notes""], ""column_types"": [""text"", ""text"", ""number"", ""text"", ""text"", ""text""], ""table_name"": ""player_award"", ""primary_keys"": [""player_id""]}, ""player_award_vote"": {""columns"": [""award_id"", ""year"", ""league_id"", ""player_id"", ""points_won"", ""points_max"", ""votes_first""], ""column_types"": [""text"", ""number"", ""text"", ""text"", ""number"", ""number"", ""text""], ""table_name"": ""player_award_vote"", ""primary_keys"": [""player_id""]}, ""salary"": {""columns"": [""year"", ""team_id"", ""league_id"", ""player_id"", ""salary""], ""column_types"": [""number"", ""text"", ""text"", ""text"", ""number""], ""table_name"": ""salary"", ""primary_keys"": [""player_id""]}, ""player"": {""columns"": [""player_id"", ""birth_year"", ""birth_month"", ""birth_day"", ""birth_country"", ""birth_state"", ""birth_city"", ""death_year"", ""death_month"", ""death_day"", ""death_country"", ""death_state"", ""death_city"", ""name_first"", ""name_last"", ""name_given"", ""weight""], ""column_types"": [""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text"", ""text""], ""table_name"": ""player"", ""primary_keys"": [""player_id""]}}",5,44
